Time,S5_H,S6_H,S7_H,S8_H,S9_H,S14_H,S5_PM1,S5_PM25,S5_PM10,S5_CO,S5_NO2,S6_PM1,S6_PM25,S6_PM10,S6_CO,S6_NO2,S7_PM1,S7_PM25,S7_PM10,S7_CO,S7_NO2,S8_PM1,S8_PM25,S8_PM10,S8_CO,S8_NO2,S9_PM1,S9_PM25,S9_PM10,S9_CO,S9_NO2,S14_PM1,S14_PM25,S14_PM10,S14_CO,S14_NO2
03.10.22 20:00,42.42011479,46.00871223,42.91528189,42.03739873,36.59021768,43.51233355,4.464166667,6.8875,8.9925,0.155964794,1.952348359,2.066666667,4.530833333,7.129166667,0.00422158,1.93142765,2.35,4.444166667,6.555833333,0.031986732,1.718527508,2.586958333,5.632708333,8.445875,1.059054737,5.255530552,2.377916667,5.523333333,8.447916667,0.546123231,0.340021006,1.343055556,3.368888889,5.262361111,4.953769127,1.255924341
03.10.22 21:00,44.05083462,46.46986125,43.03743505,42.08940715,36.79456068,44.84069722,2.915833333,5.041666667,6.945,0.144864593,2.173214385,2.704166667,5.448333333,8.2975,0.003386923,1.94461271,1.825,2.561666667,3.181666667,0.031986732,1.696884184,2.5815,5.538666667,8.266666667,1.068529493,5.316116856,1.113333333,2.188333333,3.172083333,0.37918885,0.428766305,1.9975,5.334166667,8.465833333,3.292623755,1.327879622
03.10.22 22:00,43.11257042,46.33549767,43.15644709,42.63939807,36.73643757,45.90277978,2.731666667,4.806666667,6.6725,0.162950626,2.092902893,2.365,4.030833333,5.674166667,0.003386923,1.931887688,1.969166667,3.503333333,5.021666667,0.032556873,1.685724064,2.721833333,5.645,8.333666667,1.262979502,5.138808083,1.959166667,5.76875,9.356666667,0.519522039,0.395902269,2.450833333,4.776666667,6.9,2.75567946,1.356173456
03.10.22 23:00,40.25045405,46.5772244,43.64915673,43.03685284,36.84850909,46.18780368,3.1675,5.532083333,7.650833333,0.259254041,2.099477154,2.15125,4.345833333,6.62125,0.003386923,1.942867985,3.969166667,6.89,9.7475,0.033697156,1.655180642,2.394958333,5.01975,7.43525,1.519360888,4.982403119,1.552083333,3.97875,6.244166667,0.498248366,0.400230038,3.9,7.921666667,11.61416667,2.390769459,1.393753934
04.10.22 00:00,39.40998094,46.77749357,43.584943,43.32052717,36.81046228,46.32923805,2.925833333,3.6375,4.165833333,0.2283558,1.783006026,1.9275,3.524166667,5.14,0.003386923,1.92337172,2.991666667,6.081666667,9.249166667,0.034837439,1.646269842,2.3535,4.829833333,7.1025,1.69369718,4.888420024,1.190833333,2.20875,3.1275,0.53987358,0.398221512,3.38,6.845833333,10.02416667,1.174581237,1.460561466
04.10.22 01:00,39.20793925,46.70881487,43.76703377,43.77332262,37.07722412,46.27844624,3.6525,7.188333333,10.41833333,0.215583679,2.028956039,1.479166667,3.93875,6.60375,0.004638908,1.927749505,2.679166667,5.79,9.019166667,0.036547863,1.632636715,2.385125,4.876583333,7.162791667,1.947153285,4.836645363,1.329583333,3.039166667,4.62875,0.588936139,0.370832735,2.8975,4.803333333,6.494166667,0.79083175,1.511578917
04.10.22 02:00,39.17529093,46.73636928,43.95596735,44.47902698,33.14489839,46.08742802,2.8625,6.100833333,9.085833333,0.25875037,2.273015367,2.585833333,5.255,8.03,0.003386923,1.879940087,2.690833333,5.285833333,7.923333333,0.03942058,1.607580371,2.030625,4.646291667,7.076625,2.397087246,4.710534698,3.250833333,5.998333333,8.485,0.303090311,0.534948984,3.395833333,4.135833333,4.665833333,0.612695754,1.576733518
04.10.22 03:00,39.13414853,46.59706501,43.89802289,44.6519248,33.61711929,46.18904037,2.904166667,4.576666667,6.0375,0.175726246,2.346503209,2.2425,3.91375,5.577916667,0.003386923,1.939646247,2.485833333,5.458333333,8.549166667,0.040624984,1.606806304,2.212166667,5.101958333,7.785416667,2.53633587,4.643499435,2.373333333,4.064166667,5.575,0.347239215,0.520729243,3.439166667,7.135833333,10.53416667,0.538427541,1.656549819
04.10.22 04:00,39.11114267,46.51431712,43.74476996,44.66857296,33.98429445,46.0415434,2.945833333,4.55,5.940833333,0.235737205,2.018049635,2.365833333,4.006666667,5.6225,0.003386923,1.957818868,2.4325,4.4925,6.55,0.038828428,1.626003554,2.259083333,4.656708333,6.85825,2.572848367,4.614815541,2.357083333,4.24,5.937083333,0.362294214,0.436753732,3.721666667,5.780833333,7.5725,1.198522731,1.560730732
04.10.22 05:00,38.04875681,46.56352136,43.688243,40.01797427,34.16596491,45.95819336,2.396666667,3.3125,4.07,0.189200851,2.326702004,1.260833333,2.1825,3.1,0.003386923,1.947560865,3.185,6.670833333,10.26583333,0.038258287,1.627412616,4.6585,8.550333333,12.07016667,0.475963429,7.447123859,2.1125,5.175833333,8.035,0.267369989,0.460771274,3.7475,5.623333333,7.236666667,0.653288088,1.517333246
04.10.22 06:00,38.20763787,46.54863944,43.56074117,41.26507628,34.22290659,45.41288806,3.315833333,6.338333333,9.09,0.201684413,2.252839315,2.2125,5.305,8.610833333,0.003776736,1.954927706,1.871666667,3.518333333,5.17,0.038828428,1.640976879,3.481166667,6.0235,8.2995,0.734695007,5.837133372,2.290833333,3.10375,3.76625,0.342682582,0.422461913,3.488333333,6.7925,9.808333333,0.681309543,1.503922584
04.10.22 07:00,38.02670156,43.39290435,43.69518975,42.55876707,34.14074625,43.58965208,2.649166667,4.205,5.573333333,0.166560361,2.608486197,5.723333333,9.242916667,12.6225,0.003386923,2.658906292,2.298333333,5.178333333,8.1875,0.03942058,1.662253471,3.135333333,5.920666667,8.451,1.243341705,5.218408359,1.719583333,3.892916667,5.907916667,0.322938736,0.403540545,2.820833333,4.830833333,6.624166667,0.681493413,1.459528052
04.10.22 08:00,38.37409836,43.65237323,40.81262865,41.1395613,34.05302531,43.7226184,3.8825,6.696666667,9.213333333,0.223404368,2.414761766,4.683333333,7.639583333,10.49583333,0.004556362,2.325250601,4.029166667,6.463333333,8.754166667,0.034986732,2.104130187,4.945,8.289166667,11.26033333,0.572517825,6.711678931,2.085833333,3.982083333,5.707083333,0.371564936,0.390328411,2.466666667,4.756666667,6.844166667,0.642425347,1.435825566
04.10.22 09:00,39.5830865,43.84487837,41.94073802,42.8912002,34.20488956,43.53520157,4.53,7.236666667,9.6125,0.216335159,2.478967654,4.415833333,7.50625,10.55375,0.003971642,2.257839505,3.050833333,5.030833333,6.921666667,0.031441074,2.074465505,4.2805,6.995833333,9.3935,1.249063531,6.110770539,1.894583333,3.127083333,4.214375,0.422001264,0.43905908,2.84,3.998333333,4.9625,0.596738369,1.408470025
04.10.22 10:00,38.89379582,43.9448375,42.22204597,43.02136804,34.05637004,43.20368485,4.8025,7.406666667,9.668333333,0.240332412,2.605271568,3.635416667,6.122916667,8.5675,0.003971642,2.106036544,2.969166667,4.751666667,6.43,0.032581357,1.836940279,4.516,8.182833333,11.49283333,1.422664237,5.473954277,1.588333333,3.645833333,5.556458333,0.380201535,0.425507167,2.3875,3.865,5.1675,0.538035351,1.355949643
04.10.22 11:00,38.28908611,43.94246632,42.46306329,42.42377491,34.25620658,42.60271102,4.286666667,6.3525,8.116666667,0.184789504,2.684552719,3.905833333,6.24,8.470833333,0.003386923,2.129715694,2.7475,4.885,6.995833333,0.03540758,1.792432822,4.550833333,7.0935,9.308166667,1.164513114,5.377239375,2.038333333,4.464583333,6.70875,0.269601861,0.425758256,3.15,4.761666667,6.151666667,0.448780231,1.297819431
04.10.22 12:00,38.4106951,43.98507083,42.61505577,42.42600113,33.78246331,41.56818318,5.57,8.4825,11,0.224232207,2.849912782,3.325,4.824166667,6.160833333,0.003971642,2.023568553,3.075833333,5.739166667,8.408333333,0.033697156,1.773347401,9.954833333,14.83066667,19.01216667,1.1751304,5.211920795,2.316666667,4.928333333,7.3375,0.306211088,0.451543182,2.869166667,5.3425,7.580833333,0.473585171,1.285291985
04.10.22 13:00,38.23555057,43.7692424,42.68140197,41.48111216,34.18844277,41.39313656,4.9525,7.415833333,9.533333333,0.217338372,2.397835304,3.375,6.800833333,10.35666667,0.003386923,2.017438574,3.336666667,5.78,8.1675,0.034267297,1.787268179,7.271,10.64366667,13.51383333,0.865164456,5.479220291,4.1575,9.350833333,14.16,0.392754841,0.474885288,2.351666667,4.6825,6.813333333,0.599918586,1.28621235
04.10.22 14:00,37.92568168,43.43458335,42.72770716,42.20412491,34.6128863,41.7202486,3.878333333,5.819166667,7.488333333,0.209954429,2.650734943,3.235,5.72,8.206666667,0.003386923,1.991216891,2.688333333,4.97,7.250833333,0.034267297,1.770821547,5.541,7.9945,10.06916667,1.104248153,5.464061929,3.1675,6.31125,9.187916667,0.309503253,0.482329335,2.548333333,3.694166667,4.6625,0.717279859,1.265278136
04.10.22 15:00,37.68716124,43.44084975,42.79186839,42.70006769,34.72754167,42.13513179,4.19,7.609166667,10.69583333,0.206908769,2.539629748,3.299166667,5.486666667,7.615833333,0.003386923,1.996449648,2.449166667,3.572916667,4.563333333,0.035692651,1.764291566,5.204,8.803333333,12.01016667,1.261987445,5.340073514,2.653333333,4.1825,5.519166667,0.406796209,0.441407076,2.2325,4.7175,7.006666667,1.41156897,1.264715605
04.10.22 16:00,38.27420122,43.52555577,42.70892069,43.13176455,35.78962018,42.96061157,3.583333333,5.895833333,7.941666667,0.174715992,2.667783638,4.016666667,6.3625,8.593333333,0.003386923,1.991347908,2.41,3.69,4.86,0.03540758,1.767363008,4.4325,7.665333333,10.55883333,1.526263427,5.25216936,2.483333333,5.028333333,7.360833333,0.371893416,0.466708542,2.153333333,3.868333333,5.413333333,1.023720163,1.297323616
04.10.22 17:00,38.32155824,43.85024748,42.77635843,40.17043534,35.66386725,43.38942913,2.705833333,4.83,6.7425,0.181065534,2.704116325,3.429166667,4.805,5.989166667,0.003386923,2.028507608,2.176666667,4.486666667,6.864166667,0.035977721,1.762676666,3.933833333,5.824166667,7.4415,0.711557866,5.159214009,2.265,5.377916667,8.272916667,0.471628181,0.46888905,2.905,5.6975,8.246666667,1.081786145,1.281215291
04.10.22 18:00,38.81753499,44.25089493,42.75794276,41.6725494,36.81365744,43.42175014,2.331666667,3.985833333,5.4625,0.257556942,1.970033089,3.7775,6.689166667,9.598333333,0.003386923,2.197049939,2.968333333,5.288333333,7.575833333,0.033697156,1.768353021,4.053,6.253833333,8.166666667,0.912607742,5.328979539,2.100833333,2.808333333,3.379166667,0.403955761,0.425202043,2.686666667,5.805833333,8.6875,1.108334366,1.287389196
04.10.22 19:00,39.27640366,44.19840711,42.75955973,42.57443249,37.1327197,43.44622923,3.365833333,5.255833333,6.903333333,0.204587231,2.455143071,2.826666667,4.158333333,5.3625,0.003386923,2.167206126,1.880833333,3.611666667,5.360833333,0.036547863,1.772725797,5.255666667,7.4945,9.376333333,1.350421076,5.497887368,2.3125,3.7,4.9175,0.400440103,0.419015509,2.715833333,5.508333333,8.065,1.32436176,1.299277709
04.10.22 20:00,40.87292067,44.82931364,42.78474147,41.84144885,37.42469691,43.40145109,3.106666667,4.909583333,6.487083333,0.176803152,2.299187242,2.714166667,5.7375,8.906666667,0.006115613,1.820150734,1.701666667,3.405833333,5.146666667,0.037118004,1.754913093,5.578833333,8.874166667,11.76333333,0.966368766,6.347899256,2.401666667,5.445416667,8.264583333,0.439129511,0.403911886,2.2,3.5125,4.665833333,2.230084754,1.246500524
04.10.22 21:00,42.65136942,44.2486327,42.83577914,42.70491737,37.42172152,43.41119517,3.393333333,4.841666667,6.058333333,0.146406467,2.341221285,2.834166667,4.703333333,6.528333333,0.007674865,1.651402224,2.135833333,3.98,5.830833333,0.03540758,1.781899846,5.198166667,8.8955,12.197,1.337679867,5.55069439,1.66625,4.07625,6.32375,0.559238874,0.387934606,3.616666667,7.638333333,11.34375,2.818944601,1.188943783
04.10.22 22:00,42.48239111,44.2456742,42.8317304,42.8843867,37.44910929,43.37181931,4.556666667,6.751666667,8.631666667,0.151260175,2.481531086,2.8275,4.9975,7.165,0.007674865,1.634922467,2.5675,4.61,6.63,0.038302308,1.761402233,4.612666667,7.560666667,10.16666667,1.436526618,5.33905843,1.635416667,3.995416667,6.19375,0.487005904,0.358813215,2.955,6.511666667,9.798333333,2.711327863,1.208724208
04.10.22 23:00,42.92584639,44.36849361,42.92526353,43.48819766,37.32433529,44.12562466,4.21,6.471666667,8.431666667,0.160122187,2.302120698,2.0275,3.389166667,4.720833333,0.008064678,1.630412722,2.1925,3.734166667,5.230833333,0.038258287,1.725161871,4.160333333,7.064666667,9.655833333,1.705102685,5.146211955,1.837083333,4.720416667,7.420833333,0.595567466,0.342448758,2.308333333,4.933333333,7.354166667,2.444079639,1.206935379
05.10.22 00:00,42.76976221,44.62681339,43.04179326,43.84550393,37.36828477,45.0391612,3.191666667,4.533333333,5.6575,0.157369638,2.398726885,2.45,4.080833333,5.6775,0.008064678,1.626809809,2.414166667,4.466666667,6.515,0.038828428,1.704988826,4.087,7.419666667,10.42916667,1.914652906,5.039972489,1.4875,3.789166667,5.935833333,0.513648385,0.371451248,2.55,3.534166667,4.345833333,2.259489723,1.188766633
